id,name,gender,origin,type,nationality,study,education,revenue
94,Duale Hoschschule Baden-Württemberg,0,NA,4,DE,NA,NA,NA
95,KNDS Deutschland GmbH & CO. KG,0,NA,2,DE,NA,NA,3
96,Adela Lieb,2,1976,6,DE,Betriebswirtschaftslehre,2,NA
97,Universität Augsburg,0,NA,4,DE,NA,NA,NA
98,Deloitte & Touche GmbH,0,NA,1,DE,NA,NA,NA
99,Johannes Meier,1,1984,6,DE,Betriebswirtschaftslehre,NA,NA
100,CFA Institute,0,NA,4,US,NA,NA,NA
101,Voith GmbH,0,NA,1,DE,NA,NA,NA
102,Talis Group,0,NA,1,DE,NA,NA,NA
103,Doreen Nowotne,2,1972,6,DE,Betriebswirtschaftslehre,2,NA
104,Hochschule für Technik und Wirtschaft Dresden,0,NA,4,DE,NA,NA,NA
105,International Institute for Management Development,0,NA,4,CH,NA,NA,NA
106,Arthur Andersen Wirtschaftsprüfungsgesellschaft mbH,0,NA,1,DE,NA,NA,NA
107,UBS Capital,0,NA,1,DE,NA,NA,NA
108,BC Partners,0,NA,1,DE,NA,NA,NA
109,SGB-SMIT Group,0,NA,1,DE,NA,NA,NA
110,VAT Group,0,NA,1,DE,NA,NA,NA
111,JENOPTIK AG,0,NA,1,DE,NA,NA,NA
112,Lufthansa Technik AG,0,NA,1,DE,NA,NA,NA
113,Franz Haniel & Cie. GmbH,0,NA,1,DE,NA,NA,NA
114,Brenntag SE,0,NA,1,DE,NA,NA,NA
115,Kühne Holding AG,0,NA,1,CH,NA,NA,NA
116,Ferdije Rrecaj,2,1976,6,DE,Ausbildung,NA,NA
117,AUDI AG,0,NA,1,DE,NA,NA,NA
118,Goethe Universität Frankfurt am Main,0,NA,4,DE,NA,NA,NA
119,Mario Sommer,1,1981,6,DE,Produktionstechnik,2,NA
120,Duale Hochschule Sachsen,0,NA,4,DE,NA,NA,NA
121,MAN Roland,0,NA,1,DE,NA,NA,NA
122,Karin Sonnenmoser,2,1969,6,DE,Betriebswirtschaftslehre,2,NA
123,University of Dayton,0,NA,4,US,NA,NA,NA
124,AutoVision GmbH,0,NA,1,DE,NA,NA,NA
125,Volkswagen Sachsen GmbH,0,NA,1,DE,NA,NA,NA
126,Zumtobel Group AG,0,NA,1,AT,NA,NA,NA
127,Schweizer Electronic AG,0,NA,1,DE,NA,NA,NA
128,Vivantes - Netzwerk für Gesundheit GmbH,0,NA,1,DE,NA,NA,NA
129,Ceconomy AG,0,NA,1,DE,NA,NA,NA
130,Swiss Steel Group,0,NA,1,CH,NA,NA,NA
131,INNIO Group,0,NA,1,AT,NA,NA,NA
132,u-blox,0,NA,1,CH,NA,NA,NA
133,Klaus Stahlmann,1,1960,6,DE,"Wirtschaftswissenschaften,Elektrotechnik",2,NA
134,Technische Hochschule Darmstadt,0,NA,4,DE,NA,NA,NA
135,Carl Schenck AG,0,NA,1,DE,NA,NA,NA
136,Krupp Fördertechnik,0,NA,1,DE,NA,NA,NA
137,Allweiler AG,0,NA,1,DE,NA,NA,NA
138,MAN SE,0,NA,1,DE,NA,NA,NA
139,Sulzer,0,NA,1,CH,NA,NA,NA
140,Kelvion Holding GmbH,0,NA,1,DE,NA,NA,NA
141,Trillium Flow Technologies,0,NA,1,GB,NA,NA,NA
142,Ullrich Grillo,1,1959,6,DE,Betriebswirtschaftslehre,2,NA
143,Universität Münster,0,NA,4,DE,NA,NA,NA
144,Bundesverband der Deutschen Industrie e.V.,0,NA,7,DE,NA,NA,NA
145,HDI Global SE,0,NA,1,DE,NA,NA,NA
146,Commerzbank AG,0,NA,1,DE,NA,NA,NA
147,J. P. Morgan,0,NA,1,GB,NA,NA,NA
148,E.ON,0,NA,1,DE,NA,NA,NA
149,Rheinzink,0,NA,1,DE,NA,NA,NA
150,Grillo-Werke AG,0,NA,1,DE,NA,NA,NA
151,Klaus Draeger,1,1956,6,DE,Maschinenbau,3,NA
152,BMW Group,0,NA,1,DE,NA,NA,NA
153,BMW AG,0,NA,1,DE,NA,NA,NA
154,Eirik Lie,1,1966,3,NO,Ingenieurwesen,NA,NA
155,Lisa Edvardsen Haugan,2,1976,3,NO,NA,NA,NA
156,Universitetet i Sørøst-Norge,0,NA,4,NO,NA,NA,NA
157,Martin Wien Fjell,1,1980,3,NO,Finanzen,NA,NA
158,Saori Dubourg,2,1971,6,DE,Betriebswirtschaftslehre,NA,NA
159,Umoe,0,NA,2,NO,NA,NA,NA
160,Universität Trier,0,NA,4,DE,NA,NA,NA
161,BASF,0,NA,1,DE,NA,NA,NA
162,Greiner AG,0,NA,1,AT,NA,NA,NA
163,Council of the German Government,0,NA,8,DE,NA,NA,NA
164,Andreas Georgi,1,1957,6,DE,Wirtschaftsingenieurwesen,3,NA
165,Even Aas,1,1961,3,NO,Sozialökonomie,2,NA
166,Bremer Bank,0,NA,1,DE,NA,NA,NA
167,Dresdner Bank AG,0,NA,1,DE,NA,NA,NA
168,Bankhaus Reuschel & Co.,0,NA,1,DE,NA,NA,NA
169,Ludwig-Maximilians-Universität,0,NA,4,DE,NA,NA,NA
170,Susanne Hannemann,2,1964,6,DE,Wirtschaftswissenschaften,3,NA
171,Ruhr-Universität Bochum,0,NA,4,DE,NA,NA,NA
172,Berliner Bank,0,NA,1,DE,NA,NA,NA
173,Wirtschaftsprüferkammer NRW,0,NA,8,DE,NA,NA,NA
174,Louise Öfverström,2,1975,6,DE,Betriebswirtschaftslehre,2,NA
175,Albert-Ludwigs-Universität Freiburg,0,NA,4,DE,NA,NA,NA
176,Lund University,0,NA,4,SE,NA,NA,NA
177,Linde Gas Therapeutics GmbH,0,NA,1,DE,NA,NA,NA
178,LagomWhite GmbH,0,NA,1,DE,NA,NA,NA
179,MAN Financial International GmbH,0,NA,1,DE,NA,NA,NA
180,Clariant,0,NA,1,CH,NA,NA,NA
181,Thyssenkrupp Steel,0,NA,1,DE,NA,NA,NA
182,Rolls Royce Power Systems AG,0,NA,1,DE,NA,NA,NA
183,Kowry Energy,0,NA,1,DE,NA,NA,NA
184,Nemetschek Group,0,NA,1,DE,NA,NA,NA
185,Marc Tüngler,1,1986,6,DE,Rechtswissenschaften,2,NA
186,Universität zu Köln,0,NA,4,DE,NA,NA,NA
187,ALBIS Leasing Gruppe,0,NA,1,DE,NA,NA,NA
188,innogy SE,0,NA,1,DE,NA,NA,NA
189,innotec Tss AG,0,NA,1,DE,NA,NA,NA
190,AdAR - Arbeitskreis deutscher Aufsichtsrat e.V.,0,NA,8,DE,NA,NA,NA
191,freenet AG,0,NA,1,DE,NA,NA,NA
192,Deutsche Schutzvereinigung für Wertpapierbesitz e.V.,0,NA,1,DE,NA,NA,NA
193,Klaus-Günter Vennemann,1,1954,6,DE,NA,NA,NA
194,Technikerschule Duisburg,0,NA,4,DE,NA,NA,NA
195,GETRAG GmbH & Cie,0,NA,1,DE,NA,NA,NA
196,Schaeffler Group,0,NA,1,DE,NA,NA,NA
197,Siteco Lightning GmbH,0,NA,1,DE,NA,NA,NA
198,OSRAM,0,NA,1,DE,NA,NA,NA
199,KSPG AG,0,NA,2,DE,NA,NA,NA
200,KAMAX Holding GmbH & Co. KG,0,1935,1,DE,NA,NA,NA
201,Nanogate SE,0,NA,1,CH,NA,NA,NA
202,MAB Autotech LTD,0,NA,1,DE,NA,NA,NA
203,Dirk Zimper,1,NA,3,DE,Luft- und Raumfahrttechnik,3,NA
204,MBDA Deutschland,0,2001,2,DE,NA,NA,NA
205,Bayern - Chemie (LFK Germany / MBDA Group),0,1957,2,DE,NA,NA,NA
206,NATO Science & Technology Organization,0,1949,4,US,NA,NA,NA
207,Deutsches Zentrum für Luft - und Raumfahrt (DLR),0,1969,4,DE,NA,NA,NA
208,Ulrich Nuding,1,1977,3,DE,Elektrotechnik,3,NA
209,Marcella Hoffmann,2,NA,3,DE,Betriebswirtschaftslehre,2,NA
210,IABG,0,1961,1,DE,NA,NA,NA
211,"BCCN Munich, Ludwig - Maximilian Universität",0,1472,3,DE,NA,NA,NA
212,"Institut für Medizinische Psychologie, LMU München",0,1472,3,DE,NA,NA,NA
213,Falk Müller,1,NA,3,DE,Elektrotechnik,2,NA
214,Hagenuk Marinekommunikation GmbH,0,1995,1,DE,NA,NA,NA
215,LFK - Lenkflugkörpersysteme GmbH,0,1995,2,DE,NA,NA,NA
216,FEE Industrieautomation GmbH,0,1982,1,DE,NA,NA,NA
217,Guido Brendler,1,1967,3,DE,NA,NA,NA
218,German Naval Yards Kiel GmbH,0,2015,8,DE,NA,NA,NA
219,NetJets Europe,0,1964,1,US,NA,NA,NA
220,Ejercito del Aire,0,NA,4,ES,NA,NA,NA
221,Bundeswehr,0,NA,1,DE,NA,NA,NA
222,Marc Zizmann,1,1969,3,DE,"Betriebswirtschaftslehre,Rechtswissenschaften",2,NA
223,NEGOCIA,0,NA,4,FR,NA,NA,NA
224,LFK - Lenkflugkörpersysteme GmbH,0,1995,2,DE,NA,NA,NA
225,Rechtsanwaltskanzlei Zizmann,0,NA,1,DE,NA,NA,NA
226,Thomas Gottschild,1,1969,3,DE,Elektrotechnik,NA,NA
227,François Lombard,1,NA,3,FR,Betriebswirtschaftslehre,2,NA
228,Johannes Müller,1,NA,3,DE,Betriebswirtschaftslehre,NA,NA
229,Thonas Malenke,1,1970,3,DE,Wirtschaftsingenieurwesen,2,NA
230,Alain Fauré,1,NA,3,FR,Ingenieurwesen,NA,NA
231,TDW Gesellschaft für verteidigungstechnische Wirksysteme mbH,0,1960,2,DE,NA,NA,NA
232,Universitetet i Oslo,0,NA,4,NO,NA,NA,NA
233,Verwaltungs- und Wirtschafts-Akademie München e. V.,0,1922,4,DE,NA,NA,NA
234,Andøya Space,0,NA,1,NO,NA,NA,NA
235,Fafo,0,NA,1,NO,NA,NA,NA
236,Digital Norway,0,NA,1,NO,NA,NA,NA
237,Maritimt Forum,0,NA,7,NO,NA,NA,NA
238,Norsk Industri,0,NA,7,NO,NA,NA,NA
239,Telenor,0,NA,1,NO,NA,NA,NA
240,Norwegian Ministry of Foreign Affairs,0,NA,8,NO,NA,NA,NA
241,The Norwegian Confederation of Trade Unions,0,NA,5,NO,NA,NA,NA
242,Lars Immisch,1,1967,3,DE,Rechtswissenschaften,3,NA
243,Friedrich-Schiller-Universität Jena,0,NA,4,DE,NA,NA,NA
244,Iver Christian Olerud,1,1976,3,NO,Wirtschaftswissenschaften,2,NA
245,Patria,0,NA,2,FI,NA,NA,NA
246,Kjedehuset AS,0,NA,1,NO,NA,NA,NA
247,Dipper AS,0,NA,1,NO,NA,NA,NA
248,Otrum AS,0,NA,1,NO,NA,NA,NA
249,Helene Auriol Portier,2,1962,3,FR,NA,NA,NA
250,Andreas Riecker,1,1965,3,DE,Rechtswissenschaften,3,NA
251,Infosys,0,1981,1,FR,NA,NA,NA
252,Accor,0,1967,1,FR,NA,NA,NA
253,Warburg Pincus LLC,0,1966,1,US,NA,NA,NA
254,Randstad,0,1960,1,NL,NA,NA,NA
255,ODDO BHF,0,1849,1,DE,NA,NA,NA
256,INSEAD,0,1957,3,FR,NA,NA,NA
257,Microsoft,0,1975,1,US,NA,NA,NA
258,Orange Business Services,0,2006,1,FR,NA,NA,NA
